TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,SALES
5841,01/03/19 12.21,230,Soto Ayam,30000
5842,01/03/19 14.12,262,Americano,29000
5842,01/03/19 14.12,264,Latte,34000
5842,01/03/19 14.12,306,Mineral Water,8000
5843,01/03/19 15.45,228,Bakmi Godog Keju,30000
5843,01/03/19 15.45,228,Bakmi Godog Keju,30000
5843,01/03/19 15.45,228,Bakmi Godog Keju,30000
5844,01/03/19 16.44,230,Soto Ayam,30000
5844,01/03/19 16.44,281,Teh Tubruk,12000
5845,01/03/19 16.28,262,Americano,29000
5846,01/03/19 18.15,339,Fresh Orange Juice,23000
5846,01/03/19 18.15,218,Roti Bakar,25000
5846,01/03/19 18.15,331,Soto Ayam,20000
5846,01/03/19 18.15,347,Teh Tarik,35000
5847,01/03/19 18.53,300,Kopi Tubruk,24000
5847,01/03/19 18.53,278,Kopi Tubruk,24000
5847,01/03/19 18.53,344,Pisang Goreng,25000
5848,01/03/19 19.04,253,Pisang Goreng,26000
5848,01/03/19 19.04,281,Teh Tubruk,12000
5848,01/03/19 19.04,281,Teh Tubruk,12000
5849,01/03/19 21.11,229,Bakmi Goreng Jawa,35000
5849,01/03/19 21.11,306,Mineral Water,8000
5849,01/03/19 21.11,231,Nasi Goreng Jawa,34000
5849,01/03/19 21.11,413,Teh Tubruk,18000
5849,01/03/19 21.11,413,Teh Tubruk,18000
5850,01/03/19 21.17,264,Latte,34000
5851,01/04/19 10.40,265,Latte,35000
5852,01/04/19 13.28,263,Cappuccino,34000
5852,01/04/19 13.28,252,French Fries,30000
5852,01/04/19 13.28,270,Kopi Tubruk,28000
5852,01/04/19 13.28,270,Kopi Tubruk,28000
5852,01/04/19 13.28,286,Macchiato,26000
5852,01/04/19 13.28,258,Pisang Goreng,28000
5852,01/04/19 13.28,214,Roti Bakar,22000
5853,01/04/19 16.25,276,Kopi Tubruk,18000
5853,01/04/19 16.25,267,Macchiato,33000
5853,01/04/19 16.25,257,Rawon,27000
5854,01/04/19 16.34,276,Kopi Tubruk,18000
5855,01/04/19 16.07,302,Fresh Orange Juice,34000
5855,01/04/19 16.07,302,Fresh Orange Juice,34000
5855,01/04/19 16.07,214,Roti Bakar,22000
5855,01/04/19 16.07,214,Roti Bakar,22000
5856,01/04/19 17.17,264,Latte,34000
5856,01/04/19 17.17,231,Nasi Goreng Jawa,34000
5856,01/04/19 17.17,241,Nasi Putih,48000
5856,01/04/19 17.17,331,Soto Ayam,20000
5856,01/04/19 17.17,281,Teh Tubruk,12000
5857,01/04/19 18.57,232,Bakmi Goreng Jawa,38000
5857,01/04/19 18.57,231,Nasi Goreng Jawa,34000
5857,01/04/19 18.57,281,Teh Tubruk,12000
5858,01/04/19 21.17,283,Hot/Ice Lemon Tea,26000
5859,01/05/19 12.40,333,Extra Kerupuk Putih,5000
5859,01/05/19 12.40,214,Roti Bakar,22000
5860,01/05/19 14.24,291,Fresh Orange Juice,37000
5860,01/05/19 14.24,307,Hot/Ice Lemon Tea,36000
5860,01/05/19 14.24,276,Kopi Tubruk,18000
5860,01/05/19 14.24,411,Latte,28000
5860,01/05/19 14.24,290,Latte,35000
5860,01/05/19 14.24,231,Nasi Goreng Jawa,34000
5860,01/05/19 14.24,254,Pisang Goreng,28000
5860,01/05/19 14.24,217,Roti Bakar,22000
5860,01/05/19 14.24,246,Soto Ayam,34000
5860,01/05/19 14.24,234,Soto Ayam,48000
5860,01/05/19 14.24,235,Soto Ayam,35000
5860,01/05/19 14.24,343,Spaghetti Bolognese,135000
5860,01/05/19 14.24,281,Teh Tubruk,12000
5860,01/05/19 14.24,281,Teh Tubruk,12000
5860,01/05/19 14.24,281,Teh Tubruk,12000
5860,01/05/19 14.24,289,Teh Tubruk,12083
5860,01/05/19 14.24,302,Fresh Orange Juice,34000
5861,01/05/19 14.25,229,Bakmi Goreng Jawa,35000
5861,01/05/19 14.25,306,Mineral Water,8000
5861,01/05/19 14.25,231,Nasi Goreng Jawa,34000
5862,01/05/19 14.13,246,Soto Ayam,34000
5863,01/05/19 15.34,228,Bakmi Godog Keju,30000
5863,01/05/19 15.34,334,Extra Kerupuk Putih,6000
5863,01/05/19 15.34,285,Mineral Water,26000
5863,01/05/19 15.34,285,Mineral Water,26000
5863,01/05/19 15.34,238,Nasi Putih,39000
5863,01/05/19 15.34,258,Pisang Goreng,28000
5864,01/05/19 19.57,301,Nasi Putih,29000
5864,01/05/19 19.57,238,Nasi Putih,39000
5865,01/05/19 19.56,252,French Fries,30000
5865,01/05/19 19.56,254,Pisang Goreng,28000
5866,01/06/19 10.05,264,Latte,34000
5866,01/06/19 10.05,264,Latte,34000
5867,01/06/19 10.46,250,Pisang Goreng,29000
5868,01/06/19 12.31,263,Cappuccino,34000
5868,01/06/19 12.31,278,Kopi Tubruk,24000
5869,01/06/19 12.40,270,Kopi Tubruk,28000
5870,01/06/19 12.00,262,Americano,29000
5870,01/06/19 12.00,228,Bakmi Godog Keju,30000
5870,01/06/19 12.00,283,Hot/Ice Lemon Tea,26000
5870,01/06/19 12.00,307,Hot/Ice Lemon Tea,36000
5870,01/06/19 12.00,225,Rawon,30000
5870,01/06/19 12.00,214,Roti Bakar,22000
5870,01/06/19 12.00,343,Spaghetti Bolognese,135000
5870,01/06/19 12.00,343,Spaghetti Bolognese,135000
5870,01/06/19 12.00,343,Spaghetti Bolognese,135000
5870,01/06/19 12.00,292,Teh Tarik,35000
5870,01/06/19 12.00,412,Teh Tubruk,18000
5870,01/06/19 12.00,289,Teh Tubruk,12084
5870,01/06/19 12.00,302,Fresh Orange Juice,34000
5870,01/06/19 12.00,302,Fresh Orange Juice,34000
5870,01/06/19 12.00,302,Fresh Orange Juice,34000
5871,01/06/19 13.42,254,Pisang Goreng,28000
5872,01/06/19 14.40,229,Bakmi Goreng Jawa,35000
5872,01/06/19 14.40,232,Bakmi Goreng Jawa,38000
5872,01/06/19 14.40,334,Extra Kerupuk Putih,6000
5872,01/06/19 14.40,410,Fresh Orange Juice,26000
5872,01/06/19 14.40,276,Kopi Tubruk,18000
5872,01/06/19 14.40,264,Latte,34000
5872,01/06/19 14.40,285,Mineral Water,26000
5872,01/06/19 14.40,237,Nasi Goreng Jawa,48000
5872,01/06/19 14.40,342,Nasi Goreng Jawa,32000
5872,01/06/19 14.40,281,Teh Tubruk,12000
5873,01/06/19 18.51,228,Bakmi Godog Keju,30000
5873,01/06/19 18.51,306,Mineral Water,8000
5874,01/06/19 20.00,252,French Fries,30000
5874,01/06/19 20.00,264,Latte,34000
